"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.818648510E-1,9.336984903E-2,1.197049394E-1,9.863686562E0,9.864854778E0
6.842616740E-1,9.576395154E-2,1.244931296E-1,9.861292839E0,9.862543573E0
6.866579760E-1,8.858165890E-2,1.220990419E-1,9.861292839E0,9.862446519E0
6.890549560E-1,7.421706617E-2,1.173108369E-1,9.861292839E0,9.862269843E0
6.914516740E-1,7.421706617E-2,1.220990419E-1,9.868474960E0,9.869509329E0
6.938489660E-1,8.618755639E-2,1.268872321E-1,9.878050804E0,9.879241689E0
6.962461010E-1,8.139935881E-2,1.316754371E-1,9.875657082E0,9.876870307E0
6.986427680E-1,7.900525630E-2,1.268872321E-1,9.868474960E0,9.869606894E0
7.010400600E-1,9.336984903E-2,1.220990419E-1,9.861292839E0,9.862490688E0
7.034369870E-1,9.097574651E-2,1.340695322E-1,9.858899117E0,9.860230373E0
7.058334970E-1,8.139935881E-2,1.340695322E-1,9.856505394E0,9.857753247E0
7.082305810E-1,7.900525630E-2,1.292813420E-1,9.870868683E0,9.872031404E0
7.106276640E-1,8.379345387E-2,1.292813420E-1,9.870868683E0,9.872070885E0
7.130249560E-1,8.858165890E-2,1.364636272E-1,9.875657082E0,9.876997106E0
7.154217260E-1,8.139935881E-2,1.340695322E-1,9.880446434E0,9.881691264E0
7.178181330E-1,7.421706617E-2,1.292813420E-1,9.870868683E0,9.871994246E0
7.202157890E-1,9.097574651E-2,1.244931296E-1,9.866081238E0,9.867286056E0
7.226131330E-1,9.576395154E-2,1.197049394E-1,9.854109764E0,9.855302088E0
7.250098510E-1,8.858165890E-2,1.268872321E-1,9.858899117E0,9.860113532E0
7.274070390E-1,8.858165890E-2,1.316754371E-1,9.868474960E0,9.869750918E0
7.298043310E-1,8.379345387E-2,1.292813420E-1,9.858899117E0,9.860102778E0
7.322020910E-1,7.661115378E-2,1.316754371E-1,9.863686562E0,9.864862912E0
7.345992260E-1,7.421706617E-2,1.292813420E-1,9.863686562E0,9.864812944E0
7.369956850E-1,7.900525630E-2,1.292813420E-1,9.870868683E0,9.872031404E0
7.393929240E-1,8.139935881E-2,1.244931296E-1,9.875657082E0,9.876777166E0
7.417896950E-1,7.900525630E-2,1.197049394E-1,9.873263359E0,9.874305062E0
7.441858410E-1,7.900525630E-2,1.316754371E-1,9.878050804E0,9.879244300E0
7.465825600E-1,7.661115378E-2,1.340695322E-1,9.882840157E0,9.884046412E0
7.489794870E-1,7.900525630E-2,1.316754371E-1,9.880446434E0,9.881639641E0
7.513769870E-1,7.900525630E-2,1.292813420E-1,9.875657082E0,9.876819239E0
7.537742790E-1,7.421706617E-2,1.364636272E-1,9.863686562E0,9.864909684E0
7.561711010E-1,7.421706617E-2,1.316754371E-1,9.856505394E0,9.857664286E0
7.585686540E-1,8.139935881E-2,1.244931296E-1,9.858899117E0,9.860021105E0
7.609659970E-1,8.618755639E-2,1.268872321E-1,9.858899117E0,9.860092315E0
7.633627680E-1,8.618755639E-2,1.340695322E-1,9.854109764E0,9.855398631E0
7.657599040E-1,9.576395154E-2,1.292813420E-1,9.858899117E0,9.860211772E0
7.681573510E-1,9.576395154E-2,1.244931296E-1,9.866081238E0,9.867331365E0
7.705551120E-1,8.379345387E-2,1.149167418E-1,9.858899117E0,9.859924898E0
